title,genre
Pirates of the Caribbean: On Stranger Tides,action_adventure
Twenty Something,Animation
"Doogie Kamealoha, M.D.",Comedy
"Mira, Royal Detective",Animation
Pepper Ann,Animation
The Incredible Dr. Pol,animals_nature
Happier Than Ever: A Love Letter to Los Angeles,concert_film
X-Men: Dark Phoenix,action_adventure
Alaska Animal Rescue,animals_nature
Dug Days,Animation
Cruella,Crime
Dan in Real Life,Comedy
Disney Princess Remixed - An Ultimate Princess Celebration,Family
Marvel One-Shot: All Hail the King,Comedy
Underdog,action_adventure
Dr. K's Exotic Animal ER,animals_nature
Gigantosaurus,action_adventure
Life Below Zero: Next Generation,action_adventure
Eragon,action_adventure
Growing Up Animal,animals_nature
Fantastic Four,action_adventure
X-Men,action_adventure
America's Funniest Home Videos: Animal Edition,Reality
Chicken Squad,Animation
Disney Presents Goofy in How to Stay at Home,Animation
Gabby Duran And The Unsittables,Comedy
What If...?,action_adventure
Beverly Hills Chihuahua 2,action_adventure
Beverly Hills Chihuahua 3: Viva La Fiesta!,Comedy
Killer Shark vs Killer Whale,animals_nature
Mrs. Doubtfire,Comedy
Cesar Millan: Better Human Better Dog,animals_nature
Walt Disney Animation Studios: Short Circuit Experimental Films,Animation
Built for Mars: The Perseverance Rover,Documentary
Garfield,Comedy
Chip 'n' Dale: Park Life,Animation
Critter Fixers: Country Vets,animals_nature
Disney Junior T.O.T.S.,Animation
Mickey Mouse Funhouse,Animation
Minnie's Bow-Toons: Party Palace Pals,Animation
Turning the Tables with Robin Roberts,talk_show
Ice Age: The Meltdown,Animation
Playing with Sharks,animals_nature
Shark vs. Surfer,animals_nature
Shark vs. Whale,animals_nature
Stuntman,Documentary
Walking with Dinosaurs: The Movie,action_adventure
What the Shark?,animals_nature
Behind the Attraction,Docuseries
Disney The Owl House,action_adventure
Meet Spidey and His Amazing Friends (Shorts),action_adventure
Mission Force One,action_adventure
Turner & Hooch,action_adventure
Most Wanted Sharks,animals_nature
Secrets of the Bull Shark,animals_nature
Shark Attack Files,animals_nature
Shark Attack Investigation: The Paige Winter Story,animals_nature
Sharkcano,animals_nature
We Bought a Zoo,animals_nature
World's Biggest Bullshark,animals_nature
World's Most Dangerous Shark?,animals_nature
So Random!,Comedy
Flicka,animals_nature
"Miraculous World: Shanghai, The Legend of Ladydragon",Animation
Orca vs. Great White,animals_nature
Rogue Shark?,animals_nature
Shark Beach with Chris Hemsworth,animals_nature
Shark Gangs,animals_nature
The Croc That Ate Jaws,animals_nature
When Sharks Attack,Reality
Breaking Bobby Bones,action_adventure
Mickey Mouse Mixed-Up Adventures,Animation
Monsters at Work,Animation
"The Good, The Bart, and The Loki",Animation
Disney Raven's Home,Comedy
The Sandlot,Comedy
The Sandlot 2,Comedy
Adventures in Babysitting,action_adventure
Running Wild with Bear Grylls,action_adventure
The Mysterious Benedict Society,action_adventure
Wolfgang,Biographical
Dino Ranch,Animation
Disney Just Roll With It,Comedy
"Heartland Docs, DVM",animals_nature
Luca,Animation
Star Wars Vintage: Droids,action_adventure
Puppy Dog Pals,Animation
Strange Magic,action_adventure
The Happiest Millionaire,Biographical
The Pacifier,action_adventure
Zenimation,Animation
Loki,action_adventure
Gordon Ramsay: Uncharted,action_adventure
MUPPET BABIES,Animation
Raya and the Last Dragon,action_adventure
Red Tails,action_adventure
Us Again,Animation
American Eid,Drama
Bluey,Animation
Dinner Is Served,coming_of_age
Disney Sydney To The Max,Comedy
Growing Fangs,coming_of_age
Kingdom of the Polar Bears,animals_nature
Let's Be Tigers,Drama
The Last of the Chupacabras,Fantasy
The Little Prince(ss),Drama
Wicked Tuna,action_adventure
Big City Greens,action_adventure
Fury Files,Animation
Ice Road Rescue,Docuseries
Tinker Bell and the Legend of the NeverBeast,action_adventure
Schoolhouse Rock!,animals_nature
Disney Special Agent Oso: Three Healthy Steps (Shorts),action_adventure
Race to the Center of the Earth,action_adventure
Special Agent Oso,action_adventure
X-Men: The Last Stand,action_adventure
The Incredible Hulk,action_adventure
Fantastic Four: Rise of the Silver Surfer,action_adventure
Wander Over Yonder,Comedy
Wild Hearts Can't Be Broken,Biographical
"Maggie Simpson in ""The Force Awakens from its Nap""",Animation
Star Wars Biomes,sci_fi
Star Wars Vehicle Flythroughs,Anthology
The Bad Batch,action_adventure
Spider-Man,action_adventure
22 vs. Earth,Animation
Adventures in Wonderland,Fantasy
Disney My Music Story SUKIMASWITCH,Biographical
DuckTales,action_adventure
Oklahoma!,Musical
Baby's Day Out,action_adventure
Being the Queen,Biographical
Liv and Maddie,Comedy
Secrets of the Whales,animals_nature
Big Shot,Comedy
Earth Moods,animals_nature
Primal Survivor,Docuseries
Rio,action_adventure
The Kid Who Would Be King,action_adventure
Treasure Buddies,action_adventure
White Fang 2: Myth of the White Wolf,action_adventure
Cesar Millan: The Real Story,Biographical
Future-Worm!,Family
Kick Buttowski: Suburban Daredevil,action_adventure
Man of the House,Comedy
Mark Twain and Me,Biographical
Squanto: A Warrior's Tale,action_adventure
Caravan of Courage: An Ewok Adventure,action_adventure
Ewoks: The Battle for Endor,action_adventure
Higglytown Heroes,Animation
Island at the Top of the World,action_adventure
Made in a Day,Reality
Night at the Museum,action_adventure
Secrets Of The Zoo,animals_nature
Sharks Of The Bermuda Triangle,animals_nature
Star Wars Vintage: Clone Wars 2D Micro-Series,Series
Star Wars Vintage: Story of the Faithful Wookiee,Animation
Star Wars: Ewoks,action_adventure
The Big Year,animals_nature
The Last Ice,animals_nature
Third Man on the Mountain,action_adventure
Walk the Prank,Comedy
Gnomeo & Juliet,action_adventure
Pickle and Peanut,Comedy
The Mighty Ducks: Game Changers,Comedy
Disney Big Hero 6 The Series,action_adventure
Disney My Music Story: Perfume,Biographical
Mexico Untamed,animals_nature
The Falcon and The Winter Soldier,action_adventure
Doc McStuffins: The Doc Is In,Animation
Marvel Studios ASSEMBLED,Anthology
Miss Peregrine's Home for Peculiar Children,coming_of_age
Own the Room,Documentary
Garfield: A Tail of Two Kitties,Comedy
American Dragon: Jake Long,action_adventure
Car SOS,Buddy
Disney Channel Games 2008,game_show
Disney Roll It Back (Shorts),Comedy
Dog With a Blog,Comedy
Mickey Go Local,Animation
Myth: A Frozen Tale,Animation
Okavango: River of Dreams,animals_nature
Pair of Kings,action_adventure
Secrets of Sulphur Springs,Family
Shanghai Disney Resort Grand Opening Gala,Variety
Cheaper By the Dozen,Comedy
Cheaper by the Dozen 2,Comedy
Flora & Ulysses,Comedy
The Book of Life,action_adventure
The Muppet Show,Comedy
Marvel Battleworld: Mystery of the Thanostones,action_adventure
Marvel's Behind the Mask,Anthology
Rodgers & Hammerstein's Cinderella,Comedy
You Again,Comedy
Disney My Music Story: Yoshiki,Biographical
Expedition Everest,animals_nature
Upside-Down Magic,coming_of_age
Wicked Tuna: Outer Banks,animals_nature
Dinosaurs,Comedy
Texas Storm Squad,Documentary
Pixar Popcorn,Animation
Wild Uganda,animals_nature
Elena of Avalor,action_adventure
Isle of Dogs,action_adventure
Mary Poppins Returns,Family
WandaVision,Drama
Disney Fam Jam,Family
Ferdinand,action_adventure
Marvel Studios LEGENDS,action_adventure
Toy Story: That Time Forgot,action_adventure
700 Sharks,animals_nature
Big Sharks Rule,animals_nature
Dr. Seuss' Horton Hears a Who!,Animation
Great Shark Chow Down,animals_nature
Mega Hammerhead,animals_nature
Burrow,Animation
Cosmos: Possible Worlds,action_adventure
Disney Gallery / Star Wars: The Mandalorian,action_adventure
Max Keeble's Big Move,Comedy
Soul,Animation
Arendelle Castle Yule Log,Animation
Buried Truth of the Maya,Documentary
Disney Parks Sunrise Series,animals_nature
Dory's Reef Cam,Animation
Into the Woods,action_adventure
"Miraculous World: New York, United Heroez",action_adventure
On Pointe,Docuseries
Wild Nordic,animals_nature
Disney Channel's Epic Holiday Showdown,Fantasy
Disney Holiday Magic Quest,Movies
Gender Revolution: A Journey With Katie Couric,Documentary
High School Musical: The Musical: The Holiday Special,Drama
Ralph Breaks the Internet,action_adventure
Safety,Biographical
Anastasia,Animation
Godmothered,Comedy
Man vs. Shark,animals_nature
Mulan,action_adventure
Sky High,action_adventure
The Disney Holiday Singalong,Family
The Nutcracker and the Four Realms,action_adventure
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Comedy
Black Beauty,animals_nature
From Our Family to Yours,Animation
Once Upon a Time in Wonderland,action_adventure
Party Animals,animals_nature
Folklore: the long pond studio sessions,Documentary
Bia,coming_of_age
Marvel's 616,Anthology
Planes,action_adventure
Planes: Fire & Rescue,action_adventure
The Real Right Stuff,Documentary
The Wonderful World of Mickey Mouse,action_adventure
LEGO Star Wars Holiday Special,action_adventure
Home Alone,Comedy
Home Alone 2: Lost in New York,Comedy
Home Alone 3,Comedy
Inside Pixar,Docuseries
Petra: Secrets of the Ancient Builders,Documentary
Ultimate Viking Sword,Documentary
Disney's A Christmas Carol,Animation
Fancy Nancy (Shorts),Animation
Goldie & Bear,action_adventure
Mr. Magoo,action_adventure
Prep & Landing,Animation
Prep & Landing: Naughty vs. Nice,Animation
Disney Channel Halloween House Party,Comedy
The Mandalorian,action_adventure
The Sorcerer's Apprentice,action_adventure
X-Ray Earth,animals_nature
Gathering Storm,animals_nature
India From Above,Docuseries
Marvel Super Hero Adventures,action_adventure
Once Upon a Snowman,Animation
Pompeii: Secrets Of The Dead,Documentary
Toy Story of Terror!,Animation
Beverly Hills Chihuahua,action_adventure
Clouds,Biographical
Lost on Everest,animals_nature
Marvel's Iron Man & Captain America: Heroes United,action_adventure
Meet The Chimps,animals_nature
The Rocketeer,action_adventure
Oil Spill of The Century,Documentary
The Chronicles Of Narnia: The Voyage of the Dawn Treader,action_adventure
The Right Stuff,Drama
Wild Portugal,animals_nature
X2,action_adventure
Mr. Holland's Opus,Drama
Disneynature Oceans,animals_nature
Hidden Figures,Biographical
Magic of Disney's Animal Kingdom,animals_nature
Secret Society of Second-Born Royals,action_adventure
The Giant Robber Crab,animals_nature
Wild Central America,action_adventure
Ancient China from Above,Docuseries
Becoming,Anthology
Coop & Cami Ask The World,Comedy
Europe from Above,Docuseries
Ever After: A Cinderella Story,Drama
Kingdom of the Mummies,Docuseries
Morning Light,Documentary
Notre Dame: Race Against The Inferno,Documentary
Once Upon a Time,action_adventure
Soy Luna,Comedy
Violetta,coming_of_age
Christopher Robin,Drama
D2: The Mighty Ducks,Comedy
D3: The Mighty Ducks,Comedy
Earth to Ned,Comedy
Trick or Treat,Animation
Alice Through the Looking Glass,action_adventure
Phineas and Ferb The Movie: Candace Against the Universe,action_adventure
Back to the Titanic,Documentary
Beauty and the Beast,Family
Mars: One Day on the Red Planet,Documentary
The One and Only Ivan,Drama
"Weirdest, Bestest, Truest",animals_nature
Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),Animation
Disney Zombies 2,coming_of_age
India's Wild Leopards,animals_nature
Jungle Animal Rescue,animals_nature
Magic Camp,Comedy
Marvel Studios' Ant-Man and the Wasp,action_adventure
Nature Boom Time,animals_nature
Sam's Zookeeper Challenge,animals_nature
Scuba Sam's World,animals_nature
Spaced Out,Docuseries
The Greatest Showman,Biographical
Weird But True!,animals_nature
Wild Cats of India,animals_nature
Howard,Biographical
Prince of Persia: The Sands of Time,action_adventure
Star Wars: Galaxy's Edge-Adventure Awaits,Documentary
The Hidden Kingdoms of China,animals_nature
The Peanuts Movie,Animation
UFO Europe: The Untold Stories,Docuseries
Animal Showdown,animals_nature
Best Job Ever,animals_nature
Big Cat Games,animals_nature
Black Is King,Dance
Cradle of the Gods,Documentary
Destination World,animals_nature
Fearless Adventures with Jack Randall,animals_nature
Hunt for the Abominable Snowman,Documentary
Incredibles 2,action_adventure
King Fishers,action_adventure
Lost Temple of the Inca,Documentary
Marvel Funko Shorts,action_adventure
Muppets Now,Comedy
Surviving the Mount St. Helens Disaster,animals_nature
What Sam Sees,animals_nature
Pirates of the Caribbean: Dead Men Tell No Tales,action_adventure
PJ Masks (Shorts),action_adventure
Rogue Trip,Buddy
Wild Congo,animals_nature
Wild Sri Lanka,animals_nature
A Pre-Opening Report from Disneyland,Documentary
Diary of a Wimpy Kid: The Long Haul,Comedy
Disney Junior Music Lullabies,Animation
Lost City of Machu Picchu,Documentary
Super Robot Monkey Team Hyperforce Go!,action_adventure
The Mouseketeers at Walt Disney World,coming_of_age
Wild Chile,animals_nature
X-Men: Apocalypse,action_adventure
Cosmos: A Spacetime Odyssey,action_adventure
Hamilton: History Has Its Eyes on You,Historical
Solo: A Star Wars Story,action_adventure
X-Men: Days of Future Past,action_adventure
The Undefeated Presents: Hamilton In-Depth,Historical
Animal ER,animals_nature
Diary of a Wimpy Kid: Rodrick Rules,Comedy
Hamilton,Biographical
Ice Age: Collision Course,action_adventure
Race to Witch Mountain,action_adventure
The Big Green,Comedy
The Mighty Ducks,Comedy
While You Were Sleeping,Comedy
Disney A.N.T. Farm,Comedy
Into the Unknown: Making Frozen 2,Docuseries
Man in Space,Documentary
Mars and Beyond,Animation
Marvel Studios' Avengers: Infinity War,action_adventure
Tarzan,action_adventure
Tarzan II,action_adventure
101 Dalmatians (Series),action_adventure
Big Sur: Wild California,animals_nature
Disney Junior Muppet Babies Play Date,Comedy
Egypt's Treasure Guardians,Documentary
The Jungle Book,action_adventure
The Pirate Fairy,action_adventure
Trail Mix-Up,action_adventure
Tummy Trouble,action_adventure
Artemis Fowl,action_adventure
Mighty Med,Comedy
The Liberty Story,Drama
The Story of the Animated Drawing,Documentary
Walt & El Grupo,Documentary
Alaska's Grizzly Gauntlet,animals_nature
America's Greatest Animals,animals_nature
Chasing the Equinox,Documentary
Howie Mandel's Animals Doing Things,animals_nature
Japan: Between Earth and Sky,animals_nature
Percy Jackson & The Olympians: The Lightning Thief,action_adventure
Secrets of Wild India,animals_nature
The Greeks,Docuseries
Wild Hawaii,animals_nature
Women Of Impact: Changing The World,Documentary
"Maggie Simpson in ""The Longest Daycare""",Animation
Mickey and the Seal,Animation
The Evermoor Chronicles,coming_of_age
The Moon-Spinners,Crime
Doc McStuffins,Animation
Fantastic Mr. Fox,Animation
"Hello, Dolly!",Comedy
Marvel's Future Avengers,action_adventure
Out,Animation
The Big Fib,Family
The Boys: The Sherman Brothers' Story,Biographical
It's a Dog's Life with Bill Farmer,animals_nature
Maleficent: Mistress of Evil,action_adventure
Star Wars: The Rise of Skywalker (Episode IX),action_adventure
John Carter,action_adventure
Awesome Animals,animals_nature
Birth of Europe,Docuseries
Bride of Boogedy,action_adventure
Buried Secrets Of The Bible With Albert Lin,action_adventure
Disney Prop Culture,Docuseries
George of the Jungle,action_adventure
Homeward Bound II: Lost in San Francisco,action_adventure
Homeward Bound: The Incredible Journey,action_adventure
How to Play Baseball,Animation
In Beaver Valley,animals_nature
Lost Treasures Of Egypt,Docuseries
Love & Vets,animals_nature
Nature's Half Acre,animals_nature
Prairie Dog Manor,animals_nature
Prowlers of the Everglades,animals_nature
The Princess Bride,action_adventure
United States Of Animals,animals_nature
Unlikely Animal Friends,animals_nature
Water Birds,animals_nature
National Treasure,action_adventure
Born Wild: The Next Generation,animals_nature
America's Funniest Home Videos,Comedy
The Olympic Elk,animals_nature
Tangled: The Series,action_adventure
Jane Goodall: The Hope,Biographical
Brain Games,Docuseries
Disney Mickey and the Roadster Racers - Chip 'N' Dale's Nutty Tales (Shorts),action_adventure
Let's Stick Together,Animation
Pluto's Purchase,Animation
Tron Uprising,action_adventure
A Celebration of the Music from Coco,concert_film
Disney Playtime with Puppy Dog Pals (Shorts),Animation
"Maggie Simpson in ""Playdate with Destiny""",Animation
Paradise Islands,animals_nature
Tut's Treasures: Hidden Secrets,Docuseries
A Tale of Two Critters,animals_nature
All in a Nutshell,Animation
Disneynature Penguins,animals_nature
Diving with Dolphins,animals_nature
Dolphin Reef,animals_nature
Don's Fountain of Youth,Animation
Donald's Dog Laundry,Animation
Double Dribble,Animation
Dragon Around,Animation
Elephant,animals_nature
Elmer Elephant,Animation
Fish Hooks,Animation
How To Play Football,Animation
In the Footsteps of Elephant,animals_nature
"Lambert, The Sheepish Lion",Animation
On Ice,Animation
Onward,action_adventure
Out of Scale,Animation
Penguins: Life on the Edge,animals_nature
Pluto's Party,Animation
Sea Scouts,Animation
Sonny With A Chance,Comedy
The Boy Who Talked to Badgers,action_adventure
The New Neighbor,Animation
The Small One,Animation
The Straight Story,Biographical
Frankenweenie,Animation
Mars Needs Moms,action_adventure
Prom,Comedy
The Last Song,coming_of_age
The Odd Life of Timothy Green,Drama
Be Our Chef,Family
A Wrinkle in Time,action_adventure
Disney I Didn't Do It,Comedy
Disney Insider,Anthology
Disney Vampirina Ghoul Girls Rock! (Shorts),Animation
G-Force,action_adventure
Frozen 2,action_adventure
Stargirl,coming_of_age
The Finest Hours,action_adventure
The Sandlot: Heading Home,Comedy
Bedtime Stories,Comedy
Marvel Studios' Black Panther,action_adventure
101 Dalmatian Street,action_adventure
Disney Phineas and Ferb: Phineas and Ferb Star Wars,action_adventure
Shop Class,Family
Viking Warrior Women,Documentary
Star Wars Resistance,action_adventure
Lost Cities With Albert Lin,action_adventure
Marvel Rising: Operation Shuri,action_adventure
Marvel Rising: Playing With Fire,action_adventure
Star Wars: The Clone Wars,action_adventure
Marvel's Iron Man & Hulk: Heroes United,action_adventure
Because of Winn-Dixie,Comedy
Fairy Tale Weddings,Docuseries
"My Dog, the Thief",action_adventure
Splash,Comedy
That's So Raven,Comedy
Timmy Failure: Mistakes Were Made,Buddy
Toy Story 4,action_adventure
Descendants 3,coming_of_age
Around the World in 80 Days,action_adventure
Big Business,Comedy
Lamp Life,Animation
The Lion King,action_adventure
Diary of a Future President,Comedy
High School Musical: The Musical: The Series: The Sing-Along,Comedy
America's National Parks,animals_nature
Continent 7: Antarctica,action_adventure
Disney Randy Cunningham: 9th Grade Ninja,action_adventure
Muppet Babies Show and Tell (Shorts),Animation
The Lodge,coming_of_age
Wild Russia,animals_nature
Destino,Animation
Forky Asks a Question: What is Reading?,Animation
Loop,Animation
Marvel's Runaways,coming_of_age
Aladdin (2019),action_adventure
Forky Asks a Question: What is Cheese?,Animation
Austin & Ally,Comedy
Billy Dilley's Super-Duper Subterranean Summer,Animation
Cars Toon: El Materdor,Animation
Cars Toon: Moon Mater,Animation
Cars Toon: Rescue Squad Mater,Animation
Cars Toon: Spinning,Animation
Cars Toon: Time Travel Mater,Animation
Cars Toon: Tokyo Mater,Animation
Cars Toon: Unidentified Flying Mater,Animation
Cars Toons: Bugged,Animation
Cool Runnings,Biographical
Drain Alcatraz,Documentary
Drain The Bermuda Triangle,Documentary
Drain The Great Lakes,Documentary
Drain The Ocean: WWII,Documentary
Drain The Sunken Pirate City,Documentary
Drain The Titanic,Documentary
First Class Chefs: Family Style,Family
Hacksaw,animals_nature
Holes,coming_of_age
Marvel 75 Years: From Pulp to Pop!,Documentary
Marvel Rising: Battle of The Bands,action_adventure
One Strange Rock,animals_nature
Out There with Jack Randall,action_adventure
Super Rhino,action_adventure
The Proud Family,Animation
The Super Hero Squad,action_adventure
Year Million,Docuseries
Forky Asks a Question: What is a Pet?,Animation
Star Wars: The Last Jedi (Episode VIII),action_adventure
Forky Asks a Question: What is a Leader?,Animation
George of the Jungle 2,action_adventure
High School Musical: The Musical: The Series: The Special,coming_of_age
Pick of the Litter,animals_nature
Togo,action_adventure
Forky Asks a Question: What is a Computer?,Animation
Wind,Animation
Forky Asks a Question: What is Love?,Animation
One Day at Disney (Shorts),Anthology
Marvel Studios' Thor: Ragnarok,action_adventure
Disney The Lion Guard,action_adventure
One Day at Disney,Documentary
Disney Star vs. the Forces of Evil,action_adventure
Expedition Amelia,action_adventure
Glory Road,Biographical
Henry Hugglemonster,Animation
Incredible! The Story of Dr. Pol,animals_nature
Marvel Rising: Chasing Ghosts,action_adventure
Marvel Rising: Heart of Iron,action_adventure
Miles From Tomorrowland,action_adventure
Sheriff Callie's Wild West,Animation
Supercar Megabuild,Buddy
The Incredible Dr. Pol: Blue Ribbon Kids,animals_nature
Coco,Animation
Coco (in Spanish),Animation
Forky Asks a Question: What is Time?,Animation
The Wonderful World of Disney Presents The Little Mermaid Live!,concert_film
Forky Asks a Question: What is Art?,Animation
Mickey Mouse Roadster Racers,Animation
"Happy Birthday, Mickey!",Animation
Forky Asks a Question: What is a Friend?,Animation
10 Things I Hate About You,Comedy
101 Dalmatians,action_adventure
101 Dalmatians II: Patch's London Adventure,action_adventure
102 Dalmatians,action_adventure
12 Dates of Christmas,Comedy
"20,000 Leagues Under the Sea",action_adventure
A Bug's Life,Animation
A Goofy Movie,action_adventure
A Kid in King Arthur's Court,action_adventure
A Knight for a Day,Animation
A Ring of Endless Light,coming_of_age
Aladdin (1992),action_adventure
Aladdin and the King of Thieves,action_adventure
Aladdin: The Return of Jafar,action_adventure
Alice in Wonderland,action_adventure
Aliens of the Deep,action_adventure
Alley Cats Strike!,coming_of_age
Almost Angels,coming_of_age
America's Heart & Soul,Documentary
Amy,Drama
An Extremely Goofy Movie,Animation
Andi Mack,Comedy
Annie,Drama
Apollo: Missions To The Moon,Documentary
Atlantis Rising,Documentary
Atlantis: Milo's Return,action_adventure
Atlantis: The Lost Empire,action_adventure
Auntie Edna,Animation
Avatar,action_adventure
Babes in the Woods,Animation
Babes in Toyland,Family
Bambi,Animation
Bambi II,Animation
Bao,Animation
Beach Picnic,Animation
Bearly Asleep,Animation
Beauty and the Beast: Belle's Magical World,Animation
Beauty and the Beast: The Enchanted Christmas,Animation
Beezy Bear,Animation
Before the Flood,Documentary
Benji the Hunted,action_adventure
Best Friends Whenever,Buddy
Big City Greens (Shorts),action_adventure
Big Hero 6,action_adventure
Big Hero 6 The Series (Shorts),action_adventure
Bizarre Dinosaurs,animals_nature
Blank Check,Comedy
Boat Builders,Animation
Bolt,action_adventure
Bone Bandit,Animation
Bonkers,Animation
Boundin',Animation
Boy Meets World,Comedy
Brave,Animation
Brave Little Toaster to the Rescue,action_adventure
Breaking2,Documentary
Brink!,coming_of_age
Brother Bear,action_adventure
Brother Bear 2,action_adventure
Buffalo Dreams,Buddy
Bug Juice: My Adventures at Camp,coming_of_age
BURN-E,Animation
Cadet Kelly,Comedy
Camp Nowhere,Comedy
Camp Rock,coming_of_age
Camp Rock 2: The Final Jam,coming_of_age
Can of Worms,Comedy
Candleshoe,Comedy
Canine Caddy,Animation
Cars,Animation
Cars 2,Animation
Cars 3,Animation
Cars Toon: Air Mater,Animation
Cars Toon: Heavy Metal Mater,Animation
Cars Toon: Hiccups,Animation
Cars Toon: Mater Private Eye,Animation
Cars Toon: Mater the Greater,Animation
Cars Toon: Monster Truck Mater,Animation
Cars Toon: The Radiator Springs 500 1/2,Animation
Casebusters,Drama
Cheetah,action_adventure
Chef Donald,Animation
Chicken Little,Animation
Chip 'n Dale's Rescue Rangers,action_adventure
Chip an' Dale,Animation
Cinderella,Animation
Cinderella II: Dreams Come True,Animation
Cinderella III: A Twist in Time,Animation
Clock Cleaners,Animation
Cloud 9,Sports
College Road Trip,Comedy
Confessions of a Teenage Drama Queen,Comedy
Coop & Cami Ask The World (Shorts),Comedy
Corn Chips,Animation
Cow Belles,Comedy
Crash & Bernstein,Comedy
Dadnapped,Comedy
Darby O'Gill and the Little People,Family
Darkwing Duck,action_adventure
Davy Crockett and the River Pirates,action_adventure
"Davy Crockett, King of the Wild Frontier",action_adventure
Day & Night,Animation
Decorating Disney: Holiday Magic,Documentary
Deep Blue,animals_nature
Descendants 2,coming_of_age
Diary Of A Wimpy Kid,Comedy
Dinosaur,action_adventure
Disney Adventures in Babysitting,action_adventure
Disney Avalon High,coming_of_age
Disney Bad Hair Day,Buddy
Disney Bizaardvark,Buddy
Disney Den Brother,Comedy
Disney Descendants,coming_of_age
Disney Descendants Wicked World (Shorts),Animation
Disney DuckTales (Shorts),action_adventure
Disney Evermoor,Series
Disney Family Sundays,Anthology
Disney Fast Layne,action_adventure
Disney Girl vs. Monster,action_adventure
Disney Gravity Falls,action_adventure
